product_title,ships_from_to,grams,quality,btc_price,cost_per_gram,cost_per_gram_pure,vendor_name,successful_transactions,rating,ships_from,ships_to,ships_to_US,ships_from_US,ships_to_NL,ships_from_NL,ships_to_FR,ships_from_FR,ships_to_GB,ships_from_GB,ships_to_CA,ships_from_CA,ships_to_DE,ships_from_DE,ships_to_AU,ships_from_AU,ships_to_EU,ships_from_EU,ships_to_ES,ships_from_ES,ships_to_N. America,ships_from_N. America,ships_to_BE,ships_from_BE,ships_to_WW,ships_from_WW,ships_to_SI,ships_from_SI,ships_to_IT,ships_from_IT,ships_to_DK,ships_from_DK,ships_to_S. America,ships_from_S. America,ships_to_CH,ships_from_CH,ships_to_BR,ships_from_BR,ships_to_CZ,ships_from_CZ,ships_to_SE,ships_from_SE,ships_to_CO,ships_from_CO,ships_to_CN,ships_from_CN,ships_to_PL,ships_from_PL,ships_to_GR,ships_from_GR,usd_price,vendor_performance
!!!!!INTRO OFFER!!!!! 1GR COCAINE 90%,NL  → EU,1.0,90.0,0.02577,0.02577,0.02863333333,Mister-Molly,90,4.63,NL,EU,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,222596.44101,Low
!!!!!INTRO OFFER!!!!! 2GR COCAINE 90%,NL  → EU,2.0,90.0,0.0515,0.02575,0.02861111111,Mister-Molly,90,4.63,NL,EU,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,444847.3695,Low
!!!INTRO!!! 0.5G COCAINE 89% - STRAIGHT FROM THE B,NL  → EU,0.5,89.0,0.01649,0.03298,0.03705617978,0ldamsterdamm,620,4.94,NL,EU,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,142437.53637000002,Medium
!1G! C O L O M B I A N C O C A I N E - 89% PURITY,FR  → EU,1.0,89.0,0.0412,0.0412,0.04629213483,lhomme-masquer,15,5.0,FR,EU,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,355877.8956,Medium
** 1 Gram 87% Pure Uncut Colombian Cocaine **,NL  → WW,1.0,87.0,0.034,0.034,0.03908045977,SMOOTHCRIMINAL007,28,4.78,NL,WW,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,293685.642,Low
** 10 Gram 87% Pure Uncut Colombian Cocaine **,NL  → WW,10.0,87.0,0.2705,0.02705,0.03109195402,SMOOTHCRIMINAL007,28,4.78,NL,WW,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2336528.4165000003,Low
** 2 Gram 87% Pure Uncut Colombian Cocaine **,NL  → WW,2.0,87.0,0.0623,0.03115,0.0358045977,SMOOTHCRIMINAL007,28,4.78,NL,WW,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,538135.7499,Low
** 3 Gram 87% Pure Uncut Colombian Cocaine **,NL  → WW,3.0,87.0,0.089,0.02966666667,0.03409961686,SMOOTHCRIMINAL007,28,4.78,NL,WW,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,768765.357,Low
** 5 Gram 87% Pure Uncut Colombian Cocaine **,NL  → WW,5.0,87.0,0.1417,0.02834,0.03257471264,SMOOTHCRIMINAL007,28,4.78,NL,WW,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1223978.1021,Low
***** 0.5 gm uk to uk sociable cocaine 75%,GB  → GB,0.5,75.0,0.01173,0.02346,0.03128,cocaineuk,380,4.93,GB,GB,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,101321.54649000001,Medium
